streetNumber,streetName,streetType,suburb,postcode,state,geoLocation/latitude,geoLocation/longitude,propertyType,bedrooms,bathrooms,carspaces,price,result,agent,id,agencyId,agencyName,agencyProfilePageUrl,propertyDetailsUrl,unitNumber
47,Gordon,St,Balwyn,3103,Vic,-37.8074408,145.0676829,House,4,2,2,,AUSP,Nelson Alexander Kew,2017792990,3909,Nelson Alexander Kew,https://www.domain.com.au/real-estate-agencies/nelsonalexanderkew-3909,https://www.domain.com.au/47-gordon-street-balwyn-vic-3103-2017792990,
20,Grosvenor,Pde,Balwyn,3103,Vic,-37.8078651,145.0798125,House,5,3,2,,AUPN,Marshall White Balwyn,2017799602,18210,Marshall White Boroondara,https://www.domain.com.au/real-estate-agencies/marshallwhiteboroondara-18210,https://www.domain.com.au/20-grosvenor-parade-balwyn-vic-3103-2017799602,
55,Talbot,Av,Balwyn,3103,Vic,-37.8147161,145.0852103,Unit,2,1,2,,AUSP,Anton Zhouk,2017799184,31982,Anton Zhouk,https://www.domain.com.au/real-estate-agencies/antonzhouk-31982,https://www.domain.com.au/2-55-talbot-avenue-balwyn-vic-3103-2017799184,2
20,Westminster,St,Balwyn,3103,Vic,-37.8125358,145.097521,House,4,3,2,,AUSP,Marshall White Balwyn,2017801776,18210,Marshall White Boroondara,https://www.domain.com.au/real-estate-agencies/marshallwhiteboroondara-18210,https://www.domain.com.au/20-westminster-street-balwyn-vic-3103-2017801776,
7,Alpha,St,Balwyn North,3104,Vic,-37.7989746,145.0910145,House,5,2,2,,AUSP,Marshall White Balwyn,2017773355,31019,Marshall White Balwyn,https://www.domain.com.au/real-estate-agencies/marshallwhitebalwyn-31019,https://www.domain.com.au/7-alpha-street-balwyn-north-vic-3104-2017773355,
26,Bulleen,Rd,Balwyn North,3104,Vic,-37.7908264,145.072532,House,3,2,2,,AUHB,Jellis Craig - Boroondara,2017794680,6525, Jellis Craig & Company Pty Ltd,https://www.domain.com.au/real-estate-agencies/jelliscraigcompanyptyltd-6525,https://www.domain.com.au/26-bulleen-road-balwyn-north-vic-3104-2017794680,
6,Hill,Rd,Balwyn North,3104,Vic,-37.7934545,145.0812773,House,4,3,4,2825000,AUVB,Jellis Craig - Boroondara,2017798061,6525, Jellis Craig & Company Pty Ltd,https://www.domain.com.au/real-estate-agencies/jelliscraigcompanyptyltd-6525,https://www.domain.com.au/6-hill-road-balwyn-north-vic-3104-2017798061,
12,Wynyard,Cr,Balwyn North,3104,Vic,-37.8035723,145.0928889,House,4,3,3,,AUPN,Marshall White Balwyn,2017791376,18210,Marshall White Boroondara,https://www.domain.com.au/real-estate-agencies/marshallwhiteboroondara-18210,https://www.domain.com.au/12-wynyard-crescent-balwyn-north-vic-3104-2017791376,
86,Orange,Gr,Bayswater,3153,Vic,-37.846447,145.2551914,House,3,2,2,823000,AUSD,Barry Plant Wantirna,2017794648,7284,Barry Plant Wantirna,https://www.domain.com.au/real-estate-agencies/barryplantwantirna-7284,https://www.domain.com.au/86-orange-grove-bayswater-vic-3153-2017794648,
7,Kyamba,Ct,Bayswater North,3153,Vic,-37.8202322,145.2730165,House,4,2,4,987000,AUSD,McGrath Croydon,2017802463,16084,McGrath Croydon,https://www.domain.com.au/real-estate-agencies/mcgrathcroydon-16084,https://www.domain.com.au/7-kyamba-court-bayswater-north-vic-3153-2017802463,
378,Balcombe,Rd,Beaumaris,3193,Vic,-37.9782386,145.0426354,Townhouse,3,2,2,1280000,AUSD,Buxton Sandringham,2017798783,3935,Buxton Real Estate Sandringham,https://www.domain.com.au/real-estate-agencies/buxtonrealestatesandringham-3935,https://www.domain.com.au/2-378-balcombe-road-beaumaris-vic-3193-2017798783,2
446,Balcombe,Rd,Beaumaris,3193,Vic,-37.9775459,145.036318,House,4,2,5,,AUVB,Bayside Beaches Real Estate,2017778488,8397,Bayside Beaches Real Estate Pty Ltd,https://www.domain.com.au/real-estate-agencies/beachesrealestate,https://www.domain.com.au/5-446-balcombe-road-beaumaris-vic-3193-2017778488,5
41,Dalgetty,Rd,Beaumaris,3193,Vic,-37.9892433,145.0368061,House,4,3,2,,AUSP,Buxton Chelsea,2017817819,4316,Buxton Chelsea,https://www.domain.com.au/real-estate-agencies/buxtonchelsea-4316,https://www.domain.com.au/41-dalgetty-road-beaumaris-vic-3193-2017817819,
140,Pellatt,St,Beaumaris,3193,Vic,-37.9801885,145.0436745,House,3,2,2,2110000,AUSP,Buxton Sandringham,2017794940,3935,Buxton Real Estate Sandringham,https://www.domain.com.au/real-estate-agencies/buxtonrealestatesandringham-3935,https://www.domain.com.au/140-pellatt-street-beaumaris-vic-3193-2017794940,
159,Tramway,Pde,Beaumaris,3193,Vic,-37.9829793,145.0438467,House,3,1,3,1700000,AUVB,Kay & Burton Bayside Brighton,2017784209,12060,Kay & Burton Bayside Brighton,https://www.domain.com.au/real-estate-agencies/kayburtonbaysidebrighton-12060,https://www.domain.com.au/159-tramway-parade-beaumaris-vic-3193-2017784209,
2,Erica,Ct,Bellfield,3081,Vic,-37.753281,145.040617,House,2,1,1,860000,AUSD,Nelson Alexander Ivanhoe,2017797319,15501,Nelson Alexander Ivanhoe,https://www.domain.com.au/real-estate-agencies/nelsonalexanderivanhoe-15501,https://www.domain.com.au/2-erica-court-bellfield-vic-3081-2017797319,
44,Plunkett,St,Bellfield,3081,Vic,-37.7504722,145.0424687,Townhouse,2,2,1,,AUWD,Collings Real Estate,2017786581,11934,Collings Real Estate,https://www.domain.com.au/real-estate-agencies/collingsrealestate-11934,https://www.domain.com.au/1-44-plunkett-street-bellfield-vic-3081-2017786581,1
1,Poplar,Cr,Bellfield,3081,Vic,-37.7522495,145.0352546,House,3,2,2,990000,AUSP,Nelson Alexander Ivanhoe,2017795556,15501,Nelson Alexander Ivanhoe,https://www.domain.com.au/real-estate-agencies/nelsonalexanderivanhoe-15501,https://www.domain.com.au/1-1-poplar-crescent-bellfield-vic-3081-2017795556,1
12,Frank,St,Belmont,3216,Vic,-38.1688146,144.3474731,House,3,1,1,730000,AUSD,Barnett Real Estate,2017789398,12725,Barnett Real Estate,https://www.domain.com.au/real-estate-agencies/barnettrealestate-12725,https://www.domain.com.au/12-frank-street-belmont-vic-3216-2017789398,
58,James,St,Belmont,3216,Vic,-38.183187,144.3377272,House,2,1,1,,AUPI,BP Real Estate Highton,2017793625,6500,Barry Plant Highton,https://www.domain.com.au/real-estate-agencies/barryplanthighton-6500,https://www.domain.com.au/58-james-street-belmont-vic-3216-2017793625,
5,King,St,Belmont,3216,Vic,-38.1776164,144.3385384,House,2,1,1,,AUWD,Ray White Highton,2017764113,18426,Ray White Highton,https://www.domain.com.au/real-estate-agencies/raywhitehighton-18426,https://www.domain.com.au/5-king-street-belmont-vic-3216-2017764113,
1,Morris,St,Belmont,3216,Vic,-38.1704039,144.3364036,House,3,2,1,,AUPN,BP Real Estate Highton,2017792626,6500,Barry Plant Highton,https://www.domain.com.au/real-estate-agencies/barryplanthighton-6500,https://www.domain.com.au/1-morris-street-belmont-vic-3216-2017792626,
584,Centre,Rd,Bentleigh,3204,Vic,-37.9198017,145.0470335,House,4,2,4,,AUWD,Jellis Craig Bentleigh,2017792399,30117,Jellis Craig Bentleigh,https://www.domain.com.au/real-estate-agencies/jelliscraigbentleigh-30117,https://www.domain.com.au/584-centre-road-bentleigh-vic-3204-2017792399,
66,Fromer,St,Bentleigh,3204,Vic,-37.9290629,145.0463875,House,3,2,2,1700000,AUVB,Buxton Hampton East,2017801612,3938,Buxton Hampton East,https://www.domain.com.au/real-estate-agencies/buxtonhamptoneast-3938,https://www.domain.com.au/66-fromer-street-bentleigh-vic-3204-2017801612,
1,Halley,Ct,Bentleigh,3204,Vic,-37.9222817,145.0494021,House,4,1,1,1651000,AUSP,Buxton Bentleigh,2017800721,3811,Buxton Real Estate Bentleigh,https://www.domain.com.au/real-estate-agencies/buxtonrealestatebentleigh-3811,https://www.domain.com.au/1-halley-court-bentleigh-vic-3204-2017800721,
18,Seaview,Av,Bentleigh,3204,Vic,-37.9166361,145.0441482,House,4,1,6,,AUVB,Jellis Craig Bentleigh,2017811549,30117,Jellis Craig Bentleigh,https://www.domain.com.au/real-estate-agencies/jelliscraigbentleigh-30117,https://www.domain.com.au/18-seaview-avenue-bentleigh-vic-3204-2017811549,
7-Sep,South,Av,Bentleigh,3204,Vic,-37.9311935,145.0348018,Unit,2,1,1,,AUSP,Buxton Bentleigh,2017812497,3811,Buxton Real Estate Bentleigh,https://www.domain.com.au/real-estate-agencies/buxtonrealestatebentleigh-3811,https://www.domain.com.au/1-7-9-south-avenue-bentleigh-vic-3204-2017812497,1
20,Barrington,St,Bentleigh East,3165,Vic,-37.9127056,145.0686119,House,3,1,6,1800000,AUSP,Jellis Craig Bentleigh,2017791115,30117,Jellis Craig Bentleigh,https://www.domain.com.au/real-estate-agencies/jelliscraigbentleigh-30117,https://www.domain.com.au/20-barrington-street-bentleigh-east-vic-3165-2017791115,
127,Brady,Rd,Bentleigh East,3165,Vic,-37.9247629,145.0670612,House,4,2,3,,AUSP,Buxton Bentleigh,2017797047,3811,Buxton Real Estate Bentleigh,https://www.domain.com.au/real-estate-agencies/buxtonrealestatebentleigh-3811,https://www.domain.com.au/127-brady-road-bentleigh-east-vic-3165-2017797047,
6,Brian,St,Bentleigh East,3165,Vic,-37.9248455,145.0511033,House,5,4,3,2572100,AUSD,Buxton Bentleigh,2017797964,3811,Buxton Real Estate Bentleigh,https://www.domain.com.au/real-estate-agencies/buxtonrealestatebentleigh-3811,https://www.domain.com.au/6-brian-street-bentleigh-east-vic-3165-2017797964,
