streetNumber,streetName,streetType,suburb,postcode,state,geoLocation/latitude,geoLocation/longitude,propertyType,bedrooms,bathrooms,price,result,agent
3,Garden,St,Brunswick,3056,Vic,-37.772529,144.9651631,House,3,1,1635000,AUSD,NAY Brunswick
29,Hanover,St,Brunswick,3056,Vic,-37.7613258,144.9536767,House,3,1,N/A,AUHB,Jellis Craig Brunswick
88,Henkel,St,Brunswick,3056,Vic,-37.765172,144.955693,House,4,2,N/A,AUSP,Jellis Craig Brunswick
3,Marks,St,Brunswick,3056,Vic,-37.7682125,144.968476,House,3,1,N/A,AUSP,Jellis Craig Brunswick
1,Minnie,St,Brunswick,3056,Vic,-37.7718643,144.9682609,House,4,1,N/A,AUHB,Brad Teal Woodards Pascoe Vale
4,Peveril,St,Brunswick,3056,Vic,-37.7568249,144.9635423,House,2,1,1211000,AUSD,Jellis Craig Brunswick
51,Union,St,Brunswick,3056,Vic,-37.7739967,144.956688,Unit,2,1,N/A,AUPI,Jellis Craig Brunswick
21,Warne,St,Brunswick,3056,Vic,-37.75933,144.9572364,House,3,2,850000,AUVB,Woodards Northcote
17,Barkly,St,Brunswick East,3057,Vic,-37.777506,144.9765839,Townhouse,2,1,N/A,AUSD,Woodards
3,Dianella,Wky,Brunswick East,3057,Vic,-37.7765044,144.9773347,Townhouse,2,2,N/A,AUPI,Jellis Craig Brunswick
178,Edward,St,Brunswick East,3057,Vic,-37.7752821,144.9726496,Townhouse,2,2,880000,AUSD,NAY Brunswick
265,Edward,St,Brunswick East,3057,Vic,-37.7751738,144.9751344,House,2,1,1280000,AUSD,Jellis Craig Fitzroy
53,Glenmorgan,St,Brunswick East,3057,Vic,-37.7631933,144.9755324,House,3,1,N/A,AUSD,NAY Brunswick
455,Lygon,St,Brunswick East,3057,Vic,-37.7638732,144.9726926,Unit,2,1,N/A,AUPI,Jellis Craig Brunswick
2,Killara,Mw,Bulleen,3105,Vic,-37.76940115,145.080997,House,4,2,N/A,AUSP,McGrath Northcote
32,Pinnacle,Cr,Bulleen,3105,Vic,-37.7695811,145.093686,House,4,1,1155000,AUSD,Barry Plant Manningham
5,Sefton,St,Bulleen,3105,Vic,-37.7783617,145.0929535,House,3,2,1140000,AUSD,Barry Plant Manningham
1,Bodkin,Av,Bundoora,3083,Vic,-37.6925824,145.0766891,House,4,2,1400000,AUSD,Morrison Kleeman E A
5,Champion,Cr,Bundoora,3083,Vic,-37.6983896,145.0780677,House,3,2,790000,AUSP,Barry Plant Bundoora
18,Cher,Av,Bundoora,3083,Vic,-37.6934359,145.0486915,House,5,3,N/A,AUSP,Barry Plant Bundoora
12,Coronation,Ct,Bundoora,3083,Vic,-37.7078898,145.0654244,House,3,2,907000,AUSD,Ray White Bundoora
2,Elizabeth,Gr,Bundoora,3083,Vic,-37.701944,145.059651,Villa,3,1,615000,AUSP,RW Preston
246,Greenhills,Rd,Bundoora,3083,Vic,-37.6903434,145.0450095,House,3,2,920000,AUSD,Barry Plant Bundoora
434,Grimshaw,St,Bundoora,3083,Vic,-37.7008984,145.071935,Unit,3,2,N/A,AUPI,Barry Plant Bundoora
12,Kelty,Tce,Bundoora,3083,Vic,-37.6913747,145.0749013,House,4,2,1250000,AUSD,Ray White Bundoora
2,Medora,Av,Bundoora,3083,Vic,-37.6907383,145.0541826,House,3,1,727500,AUSD,Ray White Bundoora
33,Cookson,Wy,Burwood,3125,Vic,-37.8578226,145.1105072,Townhouse,3,2,1045000,AUSP,Buxton Ashburton
24,Harrison,Av,Burwood,3125,Vic,-37.8560007,145.0977333,House,4,2,N/A,AUSP,Jellis Craig - Boroondara
10,Ireland,St,Burwood,3125,Vic,-37.8517578,145.1065114,Townhouse,3,2,1140000,AUSD,RW Burwood
31,McCubbin,St,Burwood,3125,Vic,-37.8541257,145.1276537,Townhouse,2,1,782000,AUHB,Buxton Ashburton
5,Alice,St,Burwood East,3151,Vic,-37.8575752,145.1526952,House,2,1,N/A,AUSN,Fletchers Blackburn
43,Lindisfarne,Dr,Burwood East,3151,Vic,-37.8553874,145.1501081,House,8,3,1190500,AUSD,HAR Judd White
20,Egret,Cr,Cairnlea,3023,Vic,-37.7482414,144.7841657,House,4,3,1360000,AUSP,Barry Plant Sunshine
41,Athelstan,Rd,Camberwell,3124,Vic,-37.8423155,145.06452,House,4,2,2725000,AUSD,Fletchers Canterbury
45,Broadway,,Camberwell,3124,Vic,-37.825013,145.0620705,House,5,2,N/A,AUSD,Marshall White Balwyn
4,Gilmour,Rd,Camberwell,3124,Vic,-37.8414337,145.0908422,House,4,2,N/A,AUSP,Shelter Real Estate
10a,Grace,St,Camberwell,3124,Vic,-37.843248,145.0585425,House,4,3,N/A,AUSD,Marshall White Balwyn
23,Milverton,St,Camberwell,3124,Vic,-37.8479889,145.0854995,House,4,2,N/A,AUSD,Jellis Craig - Boroondara
903,Riversdale,Rd,Camberwell,3124,Vic,-37.8348854,145.09151,Townhouse,2,2,N/A,AUSP,Fitch Partners
12,Shaw,St,Camperdown,3260,Vic,-38.2383329,143.1403905,House,2,1,N/A,AUSP,RW Rural Camperdown
42,Faversham,Rd,Canterbury,3126,Vic,-37.8201686,145.0856945,Unit,2,1,N/A,AUSP,Fletchers Canterbury
33,Logan,St,Canterbury,3126,Vic,-37.827022,145.078469,Villa,2,1,N/A,AUSP,Fellowship Kew
84,Wattle Valley,Rd,Canterbury,3126,Vic,-37.832893,145.0819451,House,5,3,N/A,AUSD,Jellis Craig - Boroondara
14,Winson Green,Rd,Canterbury,3126,Vic,-37.8203966,145.0844655,House,4,3,N/A,AUSP,Fellowship Kew
15,Keppel,St,Carlton,3053,Vic,-37.7968752,144.9668509,Unit,2,1,706000,AUSD,Woodards
60-62,Macarthur,Pl N,Carlton,3053,Vic,-37.7979721,144.9711319,House,3,2,2318000,AUSD,Jellis Craig Brunswick
595,Canning,St,Carlton North,3054,Vic,-37.7820424,144.975199,House,3,2,2500000,AUVB,Nelson Alexander Carlton
829,Drummond,St,Carlton North,3054,Vic,-37.7850603,144.9708855,House,2,1,3000000,AUVB,Nelson Alexander Carlton
1023,Rathdowne,St,Carlton North,3054,Vic,-37.7799405,144.9732232,Unit,2,1,740000,AUVB,Nelson Alexander Carlton
22,Buckley,St,Carnegie,3163,Vic,-37.8866967,145.0520373,House,4,1,1173000,AUSD,Gary Peer
28,Jersey,Pde,Carnegie,3163,Vic,-37.8878999,145.0602399,Unit,3,2,925000,AUSP,Jellis Craig Carnegie
10,Cook,St,Caroline Springs,3023,Vic,-37.7248775,144.735733,House,4,2,710000,AUSD,White Knight Estate Agents
7,Jackson,Pl,Caroline Springs,3023,Vic,-37.7504774,144.7369558,House,5,3,1450000,AUHB,Reliance Caroline Springs Pty Ltd
5,Nullarbor,Pl,Caroline Springs,3023,Vic,-37.7452971,144.725179,House,4,2,868000,AUSD,White Knight Estate Agents
7,Smethwick,Grn,Caroline Springs,3023,Vic,-37.7409754,144.7293833,House,4,2,770000,AUSD,Sweeney Caroline Springs
28,The Grange,,Caroline Springs,3023,Vic,-37.7343639,144.7324937,House,4,2,1181500,AUSP,N7 Real Estate Caroline Springs
5,Anderson,St,Caulfield North,3161,Vic,-37.8810184,145.0242336,Unit,3,1,675000,AUVB,Gary Peer
11,Carnarvon,Rd,Caulfield North,3161,Vic,-37.8684106,145.0287974,House,3,1,N/A,AUPN,Marshall White Stonnington
4A,Raymond,Gr,Caulfield South,3162,Vic,-37.8999913,145.0186488,House,2,1,N/A,AUSP,Gary Peer
44,Kierens,Wy,Chadstone,3148,Vic,-37.8852712,145.1057837,House,2,1,N/A,AUPI,BP Monash
7,Moona,Ct,Chadstone,3148,Vic,-37.8804259,145.0970039,Townhouse,4,2,N/A,AUPI,HAR First
37,Ella,Gr,Chelsea,3196,Vic,-38.0429407,145.1216122,House,3,2,1240000,AUSD,Buxton Chelsea
29,Embankment,Gr,Chelsea,3196,Vic,-38.0477763,145.1182502,Unit,2,1,685000,AUSP,Area Specialist Keysborough
20,Armistan,Cr,Chelsea Heights,3196,Vic,-38.0323862,145.1323024,House,4,2,1200000,AUSD,Property One Sales & Management PTY
27,Heather,Gr,Cheltenham,3192,Vic,-37.960668,145.049728,Unit,2,1,568000,AUSD,Buxton Mentone
4,Moonda,Gr,Cheltenham,3192,Vic,-37.9685326,145.0672335,House,4,2,1415000,AUSA,Ray White Cheltenham
10,Mulberry,Av,Cheltenham,3192,Vic,-37.9555809,145.0676545,Townhouse,3,2,862000,AUSD,Ray White Cheltenham
1,Nova,Ct,Cheltenham,3192,Vic,-37.9619087,145.0770553,House,4,2,1650000,AUSP,Greg Hocking Bayside Living
9-Nov,Radcliff,Av,Cheltenham,3192,Vic,-37.9598762,145.0592919,Unit,2,1,685000,AUSD,Ray White Cheltenham
7,Alkira,Cl,Clarinda,3169,Vic,-37.93653,145.1016147,House,3,2,1185000,AUSP,Buxton Oakleigh
9,Colonel,St,Clayton,3168,Vic,-37.9198658,145.1168433,Unit,3,2,N/A,AUPI,Darras & Zervas Estate Agents
17,Fortuna,St,Clayton,3168,Vic,-37.9195979,145.1292629,Townhouse,3,2,830000,AUSD,FN JXRE
56,Jaguar,Dr,Clayton,3168,Vic,-37.9269881,145.1319699,Unit,3,2,780000,AUSD,RW Clayton
22,Panorama,St,Clayton,3168,Vic,-37.9191269,145.1302994,Townhouse,3,2,N/A,AUPI,RW Clayton
9,Stockdale,Av,Clayton,3168,Vic,-37.9077031,145.126095,House,6,2,1530000,AUSD,RW Colyton
7,Amos,Ct,Clayton South,3169,Vic,-37.9569532,145.1354905,House,3,1,800000,AUSD,RW Clayton
6,Botanic,Dr,Clayton South,3169,Vic,-37.9395096,145.1364086,Townhouse,3,2,838000,AUSD,HAR First
4,Scott,Av,Clayton South,3169,Vic,-37.9490312,145.1377343,House,3,1,N/A,AUSD,Ray White Carnegie
31,Dally,St,Clifton Hill,3068,Vic,-37.7924122,144.9989326,House,3,2,1686000,AUSD,Nelson Alexander Commercial
30,Grant,St,Clifton Hill,3068,Vic,-37.7892177,144.9965654,House,2,1,N/A,AUPN,Nelson Alexander Commercial
8,Myrtle,St,Clifton Hill,3068,Vic,-37.7921918,144.9965331,House,3,1,1800000,AUHB,Jellis Craig Fitzroy
122-138,Roseneath,St,Clifton Hill,3068,Vic,-37.7933487,144.999137,Townhouse,3,2,N/A,AUPN,Nelson Alexander Commercial
4,Brown,St,Coburg,3058,Vic,-37.7474368,144.9648082,House,2,1,813000,AUSP,Barry Plant Coburg
12,Clifton,Gr,Coburg,3058,Vic,-37.7392868,144.9577204,House,5,2,1400000,AUHB,Del Monte Real Estate - East Ivanhoe
2A,Coburg,St,Coburg,3058,Vic,-37.7504398,144.9704552,House,2,1,885000,AUSD,Nelson Alexander ; Coburg
48,Coburg,St,Coburg,3058,Vic,-37.7462752,144.9713157,Townhouse,4,2,N/A,AUSD,Jellis Craig Brunswick
194,Gordon,St,Coburg,3058,Vic,-37.7409245,144.9500633,House,2,1,N/A,AUPI,Barry Plant Coburg
61,Huntington,Gr,Coburg,3058,Vic,-37.7470628,144.9760058,House,4,2,1605000,AUSD,Nelson Alexander ; Coburg
115,The Avenue,,Coburg,3058,Vic,-37.7527773,144.971746,House,3,2,1400000,AUSP,Barry Plant Coburg
62,Elizabeth,St,Coburg North,3058,Vic,-37.7351613,144.9832535,House,2,1,782500,AUSD,Woodards
15,Mashoobra,St,Coburg North,3058,Vic,-37.7220286,144.9557415,House,3,2,N/A,AUPI,Barry Plant Coburg
72,Lauriston,Dr,Coldstream,3770,Vic,-37.7309216,145.3861125,House,4,2,825000,AUVB,Appleby Real Estate
41,Campbell,St,Collingwood,3066,Vic,-37.8030421,144.9888832,House,2,1,N/A,AUPI,Jellis Craig Fitzroy
16,Dight,St,Collingwood,3066,Vic,-37.8033926,144.9885174,House,2,1,N/A,AUSP,Belle Property Armadale
7,Langridge,St,Collingwood,3066,Vic,-37.8064889,144.9840862,House,3,3,1430000,AUSD,Nelson Alexander Commercial
75,Little Oxford,St,Collingwood,3066,Vic,-37.8035552,144.9841817,House,3,2,N/A,AUSD,Jellis Craig Fitzroy
10,Cardiff,Ct,Craigieburn,3064,Vic,-37.6092705,144.9259564,House,3,2,632000,AUSD,Eview Group
24,Corringa,Wy,Craigieburn,3064,Vic,-37.586173,144.9155287,House,3,2,708000,AUSD,HAR Rata & Co
9,Gateshead,St,Craigieburn,3064,Vic,-37.5705485,144.9050809,House,3,2,625000,AUSD,Ray White Epping
